id	animal_type	category	subcategory
0	BIRD	FOOD	DRY_FOOD
1	BIRD	FOOD	TREATS
2	BIRD	ACCESSORIES	BOWLS
3	BIRD	ACCESSORIES	CAGES
4	BIRD	TOYS	INDOOR_TOYS
5	CAT	FOOD	DRY_FOOD
6	CAT	FOOD	WET_FOOD
7	CAT	FOOD	TREATS
8	CAT	ACCESSORIES	LEASHES
9	CAT	ACCESSORIES	HARNESSES
10	CAT	ACCESSORIES	LITTER_BEDDING
11	CAT	TOYS	INDOOR_TOYS
12	CAT	ACCESSORIES	BEDS
13	CAT	ACCESSORIES	COLLARS
14	CAT	ACCESSORIES	KENNELS_CARRIERS
15	DOG	FOOD	DRY_FOOD
16	DOG	FOOD	WET_FOOD
17	DOG	FOOD	TREATS
18	DOG	ACCESSORIES	LEASHES
19	DOG	ACCESSORIES	HARNESSES
20	DOG	ACCESSORIES	COLLARS
21	DOG	ACCESSORIES	BOWLS
22	DOG	ACCESSORIES	POOP_BAGS
23	DOG	TOYS	OUTDOOR_TOYS
24	DOG	TOYS	INDOOR_TOYS
25	DOG	ACCESSORIES	KENNELS_CARRIERS
26	DOG	ACCESSORIES	BEDS
27	DOG	CLOTHING	WINTER_CLOTHING
28	DOG	CLOTHING	RAIN_CLOTHING
29	FISH	FOOD	DRY_FOOD
30	FISH	FOOD	TREATS
31	FISH	ACCESSORIES	HEAT_LIGHTS
32	FISH	ACCESSORIES	AQUARIUMS
33	FISH	ACCESSORIES	DECORATIONS
34	REPTILE	FOOD	DRY_FOOD
35	REPTILE	FOOD	TREATS
36	REPTILE	ACCESSORIES	HEAT_LIGHTS
37	REPTILE	ACCESSORIES	AQUARIUMS
38	REPTILE	ACCESSORIES	DECORATIONS
39	REPTILE	ACCESSORIES	BOWLS
40	RODENT	FOOD	DRY_FOOD
41	RODENT	FOOD	WET_FOOD
42	RODENT	FOOD	TREATS
43	RODENT	ACCESSORIES	CAGES
44	RODENT	TOYS	INDOOR_TOYS
45	RODENT	ACCESSORIES	BOWLS
